,num,plain,jit,numpy
0,100.0,0.0007677589892409742,4.828994860872626e-06,3.059499431401491e-05
1,150.0,0.0011521020205691457,7.117982022464275e-06,3.555501461960375e-05
2,200.0,0.0015569550159852952,9.53700509853661e-06,4.281901055946946e-05
3,250.0,0.0019569299765862525,1.5104975318536162e-05,7.734299288131297e-05
4,300.0,0.0022913940192665905,1.3608980225399137e-05,4.8837013309821486e-05
5,350.0,0.00258750599459745,1.5547993825748563e-05,5.125399911776185e-05
6,400.0,0.0029772749985568225,1.7403013771399856e-05,5.744697409681976e-05
7,450.0,0.0033432720229029655,1.968999276868999e-05,5.9541023802012205e-05
8,500.0,0.0037536720046773553,2.2599997464567423e-05,6.679800571873784e-05
9,550.0,0.00429285698919557,2.3972999770194292e-05,7.034200825728476e-05
10,600.0,0.004458707990124822,2.604699693620205e-05,7.312800153158605e-05
11,650.0,0.004827917990041897,2.7139001758769155e-05,7.741502486169338e-05
12,700.0,0.0052227470150683075,3.0113995308056474e-05,8.10020137578249e-05
13,750.0,0.005620017007458955,3.240301157347858e-05,8.860501111485064e-05
14,800.0,0.005973794002784416,3.437697887420654e-05,8.882899419404566e-05
15,850.0,0.006336620979709551,3.5486998967826366e-05,9.479699656367302e-05
16,900.0,0.0067057019914500415,3.831001231446862e-05,9.836998651735485e-05
17,950.0,0.00708766799652949,3.994000144302845e-05,0.00017382000805810094
18,1000.0,0.007427368022035807,4.279601853340864e-05,0.00010693498188629746
19,1050.0,0.007834807998733595,4.48700156994164e-05,0.00011061099939979613
20,1100.0,0.008201888995245099,4.63860051240772e-05,0.00011461699614301324
21,1150.0,0.008725410007173195,4.999601515009999e-05,0.00012434300151653588
22,1200.0,0.008961331011960283,5.025201244279742e-05,0.00012252401211299002
23,1250.0,0.009313245012890548,5.3265015594661236e-05,0.00013258098624646664
24,1300.0,0.009743520990014076,5.498100654222071e-05,0.00022443299531005323
25,1350.0,0.010070395015645772,5.6263001170009375e-05,0.00013480099732987583
26,1400.0,0.010450761998072267,5.861901445314288e-05,0.00014533798093907535
27,1450.0,0.010866343014640734,6.378800026141107e-05,0.00014840700896456838
28,1500.0,0.01163820197689347,6.459298310801387e-05,0.00015666501712985337
29,1550.0,0.012028259981889278,6.76990021020174e-05,0.00015336100477725267
