,num,plain,jit
0,1.0,9.060022421181202e-07,7.920025382190943e-07
1,11.0,3.046001074835658e-05,8.970091585069895e-07
2,21.0,0.0001064480165950954,1.2370001059025526e-06
3,31.0,0.00022751200594939291,1.7310085240751505e-06
4,41.0,0.00039022997952997684,2.3600005079060793e-06
5,51.0,0.0002969630004372448,1.8930004443973303e-06
6,61.0,0.0004244210140313953,2.8609938453882933e-06
7,71.0,0.0005740729975514114,3.5809935070574284e-06
8,81.0,0.000741891999496147,3.7259887903928757e-06
9,91.0,0.0009609679982531816,6.501009920611978e-06
10,101.0,0.0011800659995060414,5.270994734019041e-06
11,111.0,0.0014466909924522042,6.207003025338054e-06
12,121.0,0.0020031320163980126,1.0432995622977614e-05
13,131.0,0.0018508700013626367,8.03000875748694e-06
14,141.0,0.002162955002859235,8.962000720202923e-06
15,151.0,0.0024467399925924838,1.0077987099066377e-05
16,161.0,0.002802828006679192,1.1293013812974095e-05
17,171.0,0.003305397985968739,1.252099173143506e-05
18,181.0,0.0035548500018194318,1.3830984244123101e-05
19,191.0,0.00400612098746933,1.5291007002815604e-05
20,201.0,0.0043580359779298306,1.6641977708786726e-05
21,211.0,0.0047718929999973625,1.8179009202867746e-05
22,221.0,0.005258331017103046,1.9723986042663455e-05
23,231.0,0.005932420986937359,2.2124004317447543e-05
24,241.0,0.006359980994602665,2.3091008188202977e-05
25,251.0,0.00674525200156495,2.4865003069862723e-05
26,261.0,0.007338991010328755,2.6766996597871184e-05
27,271.0,0.007865830004448071,2.8831011150032282e-05
28,281.0,0.008567734010284767,3.0675990274176e-05
29,291.0,0.00905312501708977,3.2813986763358116e-05
30,301.0,0.009666311991168186,3.480800660327077e-05
31,311.0,0.010425643005874008,3.7326011806726456e-05
32,321.0,0.011096517991973087,3.935099812224507e-05
33,331.0,0.011536139994859695,4.155599162913859e-05
34,341.0,0.01278228301089257,4.4122018152847886e-05
35,351.0,0.013221367000369355,4.649997572414577e-05
36,361.0,0.013910759007558227,4.901198553852737e-05
37,371.0,0.014713538985233754,5.343899829313159e-05
38,381.0,0.015461989998584613,7.27740116417408e-05
39,391.0,0.016279509000014514,5.714499275200069e-05
40,401.0,0.017183966003358364,5.967801553197205e-05
41,411.0,0.018041722010821104,6.288499571383e-05
42,421.0,0.018974709004396573,6.566400406882167e-05
43,431.0,0.020045860001118854,6.853000377304852e-05
44,441.0,0.020998010004404932,7.169699529185891e-05
45,451.0,0.021703439007978886,7.480598287656903e-05
46,461.0,0.02272862900281325,7.80340051278472e-05
47,471.0,0.02384403598261997,8.123900624923408e-05
48,481.0,0.0251024590106681,8.483798592351377e-05
49,491.0,0.025545873009832576,8.801199146546423e-05
50,501.0,0.026946917991153896,9.14029951673001e-05
51,511.0,0.028020764992106706,9.500898886471987e-05
52,521.0,0.02896787301870063,9.865598985925317e-05
53,531.0,0.030239761021221057,0.00010217601084150374
54,541.0,0.03143129000090994,0.0001060499926097691
55,551.0,0.03246036698692478,0.00010980002116411924
56,561.0,0.033773633011151105,0.00011889301822520792
57,571.0,0.034873466996941715,0.00011770299170166254
58,581.0,0.03619290600181557,0.00012161399354226887
59,591.0,0.03744498500600457,0.0001254510134458542
60,601.0,0.039153975987574086,0.00012981498730368912
61,611.0,0.04013224001391791,0.00013383798068389297
62,621.0,0.041352754982654005,0.00013804397895000875
63,631.0,0.04282263800268993,0.0001423669746145606
64,641.0,0.044430495996493846,0.00014678100706078112
65,651.0,0.04580387199530378,0.00015120499301701784
66,661.0,0.04701880499487743,0.0001559839874971658
67,671.0,0.048406871006591246,0.00016041900380514562
68,681.0,0.04984660100308247,0.0001649739861022681
69,691.0,0.05131354698096402,0.00016989500727504492
70,701.0,0.05291813000803813,0.00017449300503358245
71,711.0,0.05442852998385206,0.00017941300757229328
72,721.0,0.05602512898622081,0.0001843450008891523
73,731.0,0.05776533100288361,0.00018941599410027266
74,741.0,0.05940940900472924,0.00019452901324257255
75,751.0,0.06100591900758445,0.00019949499983340502
76,761.0,0.06246724698576145,0.00020463101100176573
77,771.0,0.06409354798961431,0.0002100609999615699
78,781.0,0.06568439299007878,0.00021532599930651486
79,791.0,0.0675336700223852,0.0002220710157416761
80,801.0,0.06906206900021061,0.000226322008529678
81,811.0,0.0711239849915728,0.00023187301121652126
82,821.0,0.07255736898514442,0.00023720000172033906
83,831.0,0.0744460900023114,0.00024287699488922954
84,841.0,0.07628664001822472,0.00024887602194212377
85,851.0,0.07811220898292959,0.000254643993685022
86,861.0,0.07990703801624477,0.00026055797934532166
87,871.0,0.08237609200295992,0.0002662139886524528
88,881.0,0.08391716098412871,0.00027216499438509345
89,891.0,0.08596387799479999,0.000278485007584095
90,901.0,0.08828552899649367,0.0002944369916804135
91,911.0,0.0897876720118802,0.000290591997327283
92,921.0,0.0958741809881758,0.0003236359916627407
93,931.0,0.0987328180053737,0.0003041560121346265
94,941.0,0.0968933480035048,0.00032044501858763397
95,951.0,0.09783497199532576,0.0003269239969085902
96,961.0,0.10389080899767578,0.00033364800037816167
97,971.0,0.10612108101486228,0.00033628399251028895
98,981.0,0.10842807698645629,0.00034765200689435005
99,991.0,0.11021349701331928,0.00034427299397066236
