,num,plain,jit
0,500.0,0.001267354004085064,0.0005198389990255237
1,1500.0,0.004259306995663792,0.0016404989873990417
2,2500.0,0.007979190006153658,0.0027331190067343414
3,3500.0,0.010724747990025207,0.0039264310034923255
4,4500.0,0.014680737018352374,0.005006899998988956
5,5500.0,0.017563689994858578,0.006081875006202608
6,6500.0,0.022155132988700643,0.007491491996916011
7,7500.0,0.024877308984287083,0.008530127990525216
8,8500.0,0.02999204900697805,0.009954945009667426
9,9500.0,0.03328078199410811,0.011155312007758766
10,10500.0,0.03562593599781394,0.012261213007150218
11,11500.0,0.03944883300573565,0.013558508013375103
12,12500.0,0.042920728999888524,0.014688900992041454
13,13500.0,0.04706003001774661,0.015883339976426214
14,14500.0,0.05144156501046382,0.017212550999829546
15,15500.0,0.05320497599313967,0.01819208200322464
16,16500.0,0.05855186900589615,0.01982307599973865
17,17500.0,0.06385835199034773,0.02106940301018767
18,18500.0,0.06707389699295163,0.021957405988359824
19,19500.0,0.0713279329938814,0.02337417600210756
20,20500.0,0.07257976100663655,0.024170728982426226
21,21500.0,0.07785550499102101,0.025586970994481817
22,22500.0,0.08711440302431583,0.027597576001426205
23,23500.0,0.0866521240095608,0.028121017006924376
24,24500.0,0.09114459599368274,0.02941512400866486
25,25500.0,0.0934823699935805,0.030623433005530387
26,26500.0,0.09993774801841937,0.03240971901686862
27,27500.0,0.10449954602518119,0.03386209098971449
28,28500.0,0.10402250298648141,0.034423947014147416
29,29500.0,0.11250632902374491,0.03709947201423347
30,30500.0,0.1159963239915669,0.03756520999013446
31,31500.0,0.11762448601075448,0.03828487801365554
32,32500.0,0.12054648200864904,0.03927365198615007
33,33500.0,0.1314404759905301,0.04170488097588532
34,34500.0,0.13286050700116903,0.042347178008640185
35,35500.0,0.13676990001113154,0.04364690699731
36,36500.0,0.14156390901189297,0.04484583900193684
37,37500.0,0.14849865200812928,0.04709779898985289
38,38500.0,0.14702061799471267,0.04742265000822954
39,39500.0,0.1550888610072434,0.04891683300957084
40,40500.0,0.16554893099237233,0.05137705599190667
41,41500.0,0.15982394898310304,0.05105528701096773
42,42500.0,0.16909951600246131,0.052878918999340385
43,43500.0,0.17415841601905413,0.05449582700384781
44,44500.0,0.1853080920118373,0.056669979996513575
45,45500.0,0.18683075800072402,0.05761541399988346
46,46500.0,0.18098080600611866,0.057653816009406
47,47500.0,0.19408974799443968,0.060378082998795435
48,48500.0,0.18956442302442156,0.060455457016360015
49,49500.0,0.19291467699804343,0.06139912098296918
50,50500.0,0.2026284009916708,0.0635103770182468
51,51500.0,0.20431694999570027,0.06448458801605739
52,52500.0,0.21047676898888312,0.06554793400573544
53,53500.0,0.21872060501482338,0.06693871301831678
54,54500.0,0.21701280600973405,0.06733372900635004
55,55500.0,0.22380546599742956,0.06934325298061594
56,56500.0,0.2302870580169838,0.07131564200972207
57,57500.0,0.23420723399613053,0.07249296800000593
58,58500.0,0.22865109099075198,0.07193497498519719
59,59500.0,0.23331642500124872,0.07332333302474581
60,60500.0,0.2357397660089191,0.0740994650113862
61,61500.0,0.2471662419848144,0.07678678000229411
62,62500.0,0.2448134680162184,0.07737093098694459
63,63500.0,0.26078447001054883,0.08122342597926036
64,64500.0,0.25904248902224936,0.08161266500246711
65,65500.0,0.2652877740038093,0.08301505897543393
66,66500.0,0.27345119800884277,0.08527695300290361
67,67500.0,0.2817084080015775,0.08698554500006139
68,68500.0,0.2746941520017572,0.08639638099703006
69,69500.0,0.28877474801265635,0.08923595800297335
70,70500.0,0.2944686120026745,0.09070874698227271
71,71500.0,0.2977777300111484,0.09171391199924983
72,72500.0,0.29935022100107744,0.09241334997932427
73,73500.0,0.29266348300734535,0.09204933300497942
74,74500.0,0.2982578490045853,0.09354521700879559
75,75500.0,0.30847605600138195,0.09601420900435187
76,76500.0,0.314685446996009,0.09736485901521519
77,77500.0,0.3197280539898202,0.09897106498829089
78,78500.0,0.32126628400874324,0.09960911399684846
79,79500.0,0.3303692229965236,0.10074941199854948
80,80500.0,0.33134109099046327,0.10462585900677368
81,81500.0,0.33953918199404143,0.1036523089860566
82,82500.0,0.33535296499030665,0.10325345498858951
83,83500.0,0.3472387120127678,0.10542786697624251
84,84500.0,0.3415670160029549,0.10514769001747482
85,85500.0,0.35781227800180204,0.10869640999590047
86,86500.0,0.3511006940098014,0.10819706798065454
87,87500.0,0.3530671830230858,0.10929651602054946
88,88500.0,0.3782210329954978,0.11533492300077341
89,89500.0,0.36540052099735476,0.11401230900082737
90,90500.0,0.3818699569965247,0.11813976897974499
91,91500.0,0.39064547899761237,0.11791380299837328
92,92500.0,0.3879972719878424,0.11979240400251001
93,93500.0,0.396109280991368,0.12085258300066926
94,94500.0,0.409486090997234,0.12344951101113111
95,95500.0,0.4111062859883532,0.12330526200821623
96,96500.0,0.4077267620014027,0.12396113699651323
97,97500.0,0.40203815800487064,0.12348190901684575
98,98500.0,0.42357691601500846,0.12840713100740686
99,99500.0,0.423629017022904,0.12858799402602017
100,100500.0,0.4346680229937192,0.1317541610042099
101,101500.0,0.43754361500032246,0.13198396301595494
102,102500.0,0.4502991299959831,0.1353714840079192
103,103500.0,0.4485761899850331,0.13957977999234572
104,104500.0,0.4668349049752578,0.14252826900337823
105,105500.0,0.4639781169826165,0.13843374399584718
106,106500.0,0.4615393429994583,0.13680524300434627
107,107500.0,0.46075475399265997,0.13768032300868072
108,108500.0,0.46302857098635286,0.13883571699261665
109,109500.0,0.48620235500857234,0.1426836739992723
110,110500.0,0.48005245099193417,0.14241479701013304
