,num,plain,jit,np
0,10.0,2.1548010408878326e-05,4.769826773554087e-07,4.016997991129756e-06
1,20.0,7.753097452223301e-05,8.049828466027975e-07,7.3229894042015076e-06
2,30.0,0.000169339997228235,1.3110111467540264e-06,7.146998541429639e-06
3,40.0,0.0002971299982164055,2.120999852195382e-06,8.14200029708445e-06
4,50.0,0.00046001802547834814,3.029999788850546e-06,9.096023859456182e-06
5,60.0,0.0006595359882339835,4.273024387657642e-06,9.839015547186136e-06
6,70.0,0.0008949630137067288,5.588022759184241e-06,6.743997801095247e-06
7,80.0,0.001174845005152747,7.146998541429639e-06,1.208100002259016e-05
8,90.0,0.001480187987908721,9.056006092578173e-06,8.52398807182908e-06
9,100.0,0.001832362002460286,1.123300171457231e-05,9.709008736535907e-06
10,110.0,0.0022671160113532096,1.2595992302522063e-05,9.397015674039721e-06
11,120.0,0.002535047009587288,1.4967983588576317e-05,1.2089003575965762e-05
12,130.0,0.0029435699980240315,1.757600693963468e-05,1.1886004358530045e-05
13,140.0,0.0034150129940826446,2.166899503208697e-05,1.5352008631452918e-05
14,150.0,0.0040912690164987,2.3168016923591495e-05,1.4550983905792236e-05
15,160.0,0.004447971994522959,2.6227993657812476e-05,1.5855010133236647e-05
16,170.0,0.005025814985856414,2.9688002541661263e-05,1.7290993127971888e-05
17,180.0,0.005624786979751661,3.3218006137758493e-05,1.8542981706559658e-05
18,190.0,0.006280208006501198,4.082801751792431e-05,2.083898289129138e-05
19,200.0,0.006951218994800001,4.08549967687577e-05,2.191498060710728e-05
20,210.0,0.007662043004529551,4.5056018279865384e-05,2.3644010070711374e-05
21,220.0,0.008378193015232682,4.931900184601545e-05,2.5479996111243963e-05
22,230.0,0.00925242598168552,5.5943994084373116e-05,3.108999226242304e-05
23,240.0,0.009995489992434159,5.8841018471866846e-05,2.9640999855473638e-05
24,250.0,0.010876807005843148,6.375898374244571e-05,3.192000440321863e-05
25,260.0,0.011757813015719876,7.424602517858148e-05,3.461100277490914e-05
26,270.0,0.0127269719960168,7.427099626511335e-05,3.6532990634441376e-05
27,280.0,0.013682859018445015,8.565399912185967e-05,3.939299494959414e-05
28,290.0,0.0148409629764501,8.520000847056508e-05,4.051998257637024e-05
29,300.0,0.01584096800070256,9.949799277819693e-05,5.004799459129572e-05
30,310.0,0.017361169011564925,9.723100811243057e-05,4.530098522081971e-05
31,320.0,0.018653695995453745,0.00010701001156121492,4.79609880130738e-05
32,330.0,0.020004610007163137,0.00011376102338545024,5.2575982408598065e-05
33,340.0,0.02178491302765906,0.00011677201837301254,5.366202094592154e-05
34,350.0,0.021723932004533708,0.00012366901501081884,5.827500717714429e-05
35,360.0,0.023007616982795298,0.0001308969804085791,5.934201180934906e-05
36,370.0,0.024231278017396107,0.0001381170004606247,6.220000796020031e-05
37,380.0,0.02564651402644813,0.00014571199426427484,6.565000512637198e-05
38,390.0,0.027014291001250967,0.00015347401495091617,7.156599895097315e-05
39,400.0,0.02848462702240795,0.00017345801461488008,9.409702033735812e-05
40,410.0,0.029911851976066828,0.0001760199957061559,9.347000741399825e-05
41,420.0,0.031447258981643245,0.00018463999731466174,0.00010112000745721161
42,430.0,0.032997361005982384,0.00018639100017026067,8.260400500148535e-05
43,440.0,0.03461655499995686,0.00019849100499413908,8.635499398224056e-05
44,450.0,0.03621626499807462,0.00020700201275758445,9.632299770601094e-05
45,460.0,0.037980295019224286,0.00021319498773664236,9.360897820442915e-05
46,470.0,0.03960450200247578,0.00022244700812734663,9.757399675436318e-05
47,480.0,0.04117810301249847,0.00023204201715998352,0.00010125001426786184
48,490.0,0.04297243099426851,0.00024171001859940588,0.00010552199091762304
49,500.0,0.044780077994801104,0.0002561470028012991,0.00011674899724312127
50,510.0,0.04667628000606783,0.0002662129991222173,0.00012332899495959282
51,520.0,0.048627070005750284,0.00027797502116300166,0.00012914699618704617
52,530.0,0.05039719500928186,0.00029963199631311,0.00013509401469491422
53,540.0,0.05289628898026422,0.0003133850113954395,0.00015388900646939874
54,550.0,0.056275071983691305,0.0003099020104855299,0.000144677993375808
55,560.0,0.056432452984154224,0.00034516199957579374,0.0001521390222478658
56,570.0,0.06033714400837198,0.00033143398468382657,0.000155479006934911
57,580.0,0.06067570298910141,0.0003633490123320371,0.00018052500672638416
58,590.0,0.06286788199213333,0.0003586029924917966,0.00016445698565803468
59,600.0,0.0655699509952683,0.0003708070144057274,0.0001728289935272187
60,610.0,0.06882509798742831,0.00038410897832363844,0.00017951399786397815
61,620.0,0.07209905801573768,0.0004135959898121655,0.0001774089760147035
62,630.0,0.07326768201892264,0.0004053089942317456,0.00019046399393118918
63,640.0,0.07651957499911077,0.0004137030045967549,0.0001972820027731359
64,650.0,0.07643785799155012,0.0004363670013844967,0.00020414998289197683
65,660.0,0.08106166101060808,0.0004754139808937907,0.00033792099566198885
66,670.0,0.08663844101829454,0.0004739809955935925,0.0002160480071324855
67,680.0,0.0845566900097765,0.000496060005389154,0.0002508970210328698
68,690.0,0.08627247900585644,0.0004943530075252056,0.0002313980075996369
69,700.0,0.08891485500498675,0.0005030019965488464,0.0002369270077906549
70,710.0,0.09124157199403271,0.0005229469970799983,0.00024434601073153317
71,720.0,0.09437774401158094,0.0005346300022210926,0.0002501099952496588
72,730.0,0.09663519699824974,0.000555172999156639,0.0002585139882285148
73,740.0,0.09927334400708787,0.0005883409758098423,0.00027947998023591936
74,750.0,0.10179198702098802,0.0005808650166727602,0.0002728660183493048
75,760.0,0.1047723489755299,0.0006017390114720911,0.0002798020141199231
